[GIN] 2023/10/26 - 20:20:34 | 200 |   44.996179ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:34 | 200 |   18.902223ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:34 | 200 |   25.692633ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:34 | 200 |    48.83804ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:35 | 200 |   47.168161ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:35 | 200 |   43.406505ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:35 | 200 |   25.445806ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:35 | 200 |   45.880825ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:35 | 200 |    48.14833ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:39 | 200 |   45.418987ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:39 | 200 |   41.796351ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:39 | 200 |   44.021676ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:39 | 200 |   42.651711ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:40 | 200 |    41.09432ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:40 | 200 |   43.492788ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:40 | 200 |   58.405854ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:43 | 200 |   43.584257ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/26 - 20:20:45 | 200 |  590.772634ms |       127.0.0.1 | POST     "/go/Transaction"
[GIN] 2023/10/26 - 20:20:50 | 200 |   31.475609ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/26 - 20:21:16 | 200 |     303.617µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:21:17 | 200 |      481.68µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:24:21 | 200 |     717.954µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:24:22 | 200 |     154.795µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:24:22 | 200 |     359.059µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:33:09 | 200 |    4.422443ms |             ::1 | GET      "/go/item/all"
